Name,Market Cap (Millions),Shares Outstanding (Millions),Float Shares,Regular Market Price,Regular Market Change,Regular Market Change (%),Enterprise to Revenue,Enterprise to EBITDA,Book Value,Beta,P/E Ratio,P/B Ratio,Payout Ratio,Total Revenue,Gross Profits,EBITDA,Operating Margins,Profit Margins,Price to Sales (TTM),Forward EPS,Trailing EPS,Operating Cash Flow,Free Cash Flow,Total Cash,Total Debt,Total Cash Per Share,Debt to Equity Ratio,Quick Ratio,Current Ratio,50 Day Average,200 Day Average,52 Week Change,52 Week High,52 Week Low,Revenue Growth,ICB Industry,Valuation Label
ensilica plc,1.2769734925595913e-05,0.0013466839268235177,0.0006806934276997683,0.001808076699965709,0.4214388496358614,0.43747943591168625,0.13111056979883481,0.8300741157866791,1.723341529038888e-05,0.23221537073244097,,0.5125844685245433,0.0,1.3182682045204337e-07,1.9617816188403922e-06,9.41223379607534e-06,0.9230583144917038,0.10697223420905072,0.13231287688558432,,0.014499468066851987,0.00037995935420797965,0.0018164758956948743,2.4783662730450344e-08,4.004617858332808e-07,7.4758938513815e-07,0.0070378993823046335,0.0012932597526654093,0.0015072049531311674,0.002163350346450591,0.0029687693562497415,0.002291782596421579,0.0033584545876029176,0.003100220146621925,0.0024690918069424747,Technology,-1
braemar plc,2.7785913519021847e-05,0.0004415618126077215,0.00044693468390297273,0.01200514270491463,0.4274965803368243,0.43601370674835455,0.13107063500614438,0.8843721860244543,3.404834398335987e-05,0.258083922394345,0.05759892800016098,0.5079977644529479,0.024221666666666666,5.600137517119212e-07,2.07976023596547e-06,9.716019575465258e-06,0.923069009272671,0.11134922332449647,0.13228289863894846,0.2998890762942365,0.014774014207762795,0.00038010301875161356,0.001818670369626291,2.3109196679545944e-07,1.545406914894406e-06,2.1190292227019284e-05,0.007174343449734965,0.0013328384216882549,0.0015532019815091946,0.01319005462169771,0.017509509644779393,0.0030915309602763887,0.016620634872459312,0.020839121978327314,0.0025810918476697623,Industrials,-1
inspirit energy holdings plc,4.174600928479772e-09,0.11494865539061154,0.11290970954354063,0.0,0.42025569799912493,0.4189943890406047,,0.8834341252240246,1.5641794132996275e-05,0.3072642502631975,,,0.0,,,9.4112694181849e-06,0.9230634188061807,0.11000015679957365,,,0.014533786334465839,0.00037996932539567776,0.0018175355109426733,1.3247902972618198e-10,0.0,0.0,,0.0001615237573635044,0.00015724565515279037,0.0,8.676352127200396e-08,5.682922018406412e-06,0.0,0.0,,Industrials,1
creightons plc,7.747870927944335e-06,0.0009540401737229185,0.0008095710032815176,0.0015722276198759158,0.42025569799912493,0.4189943890406047,0.1310675901245903,0.884992280147319,1.7946900636806254e-05,0.23657692886148296,,0.5082810194465363,0.0,2.2400588224373195e-07,2.0917890509252047e-06,9.463366055972654e-06,0.9230669553789967,0.10803697190386123,0.13227992171865613,,0.014465149799238138,0.0003800533819601054,0.0018181104733705237,2.000788425332049e-08,1.7883947728015137e-07,8.507051623985844e-07,0.003066110623048957,0.0014954318728091335,0.0023019908155701013,0.001653744228550843,0.002018480088909115,0.004531469575077682,0.002143382672300023,0.0015495757368499798,0.002502182728066446,Consumer Staples,-1
games workshop group plc,0.001859756594889504,0.0004596485297364022,0.0005702664741549031,0.7908804823203834,0.34926659979493613,0.41650037470041223,0.1313829695870984,0.8881946419423343,7.575979500468329e-05,0.2693638141073846,0.10005243930656069,0.6265277119333803,0.012884999333333334,1.968219033392419e-06,5.4921382048883084e-06,1.2798575947391269e-05,0.9230871371658247,0.1220775522396602,0.13255709107777422,1.0,0.023645286385943237,0.0003827100597373905,0.0018329863653536282,1.1167148131296861e-06,2.400391017008685e-06,9.83982304507696e-05,0.003276495936601713,0.0029202639576315697,0.0036840410635796596,0.7826517789415904,0.8361982526056867,0.005832663594696044,0.7953948669752664,1.0,0.0030774556645293324,Consumer Discretionary,-2
worldsec limited,5.818357520073199e-07,0.0011863835862186986,0.00075638865020104,0.00010472223265053678,0.42025569799912493,0.4189943890406047,0.13091788344818,,1.6074001602460646e-05,0.25642953827643256,,0.5041138345947213,0.0,4.8083269543289266e-08,1.8877541045209197e-06,,0.9230690520855945,0.11000015679957365,0.13199711306007003,,0.014516627200658914,0.0003799691199453818,0.0018175364871839978,9.435482457295113e-09,4.6559308519565005e-09,3.093473317813034e-07,0.0003384548199581721,0.01512867881054333,0.015124464749695938,2.062516745266237e-05,1.936729891229924e-05,0.6044437319155707,0.0001297751227369155,0.0,0.0003614546768926099,Unknown,-1
ukrproduct group limited,4.646557356335178e-07,0.0005530710102097649,0.00016802218273468465,0.0001833385926804678,0.4214388496358614,0.6284915835609071,0.131058962960187,0.8841953539985669,1.6499348635901773e-05,0.2671830350428636,0.006149589829468293,0.5038425366057432,0.0,1.663299877001691e-07,1.946166029965391e-06,9.449176887570655e-06,0.923068396934917,0.11071516604556438,0.1322678942595892,,0.01456810460207969,0.0003799976501431499,0.0018176034689954734,4.2069814851213525e-09,3.0211817972695514e-07,3.093473317813034e-07,0.024132216752431022,0.0005498225912903395,0.0008814314275231241,0.00014586257842648815,0.00014726382622983465,0.5902770380586111,0.00020826814052134018,2.3938273452027274e-06,0.0023189099341490668,Consumer Staples,1
biopharma credit plc,0.00033329929184611174,0.01915360179992353,0.017668410904348935,0.0033804039005643294,0.4183626481631216,0.4035948425324959,0.13124368577446952,,2.247478841214728e-05,0.20018047826740865,0.03661907507091492,0.5065047285571654,,5.474435774962954e-07,3.2021142834266764e-06,,0.9231034257932498,0.1424750536743444,0.13246701172413725,,0.014640172964068776,0.0003815062853631991,0.001825355131098334,4.9887568926218416e-08,0.0,1.288947215755431e-07,,0.002236729646669455,0.0022324604238358743,4.0070837995607355e-05,4.619634032054948e-05,0.0033880788872218976,0.0034204562223508345,6.858742813174601e-05,0.0031538193286615736,Financials,1
ruffer investment company,0.0003227401112810084,0.004309473325539389,,0.014640871478912777,0.41871689311005844,0.4160750497919335,,,3.4899038050242135e-05,,,0.5090221400851084,,,,,,,,,,,,,,,,,,0.015329386833027824,0.01828044957191318,,0.015671392644053005,0.02794579690939791,,Unknown,0
primorus investments plc,1.905696726445805e-06,0.001949347839921602,0.0011860584293728782,0.0001833385926804678,0.42025569799912493,0.4189943890406047,0.1310743044787865,,1.5929932445972522e-05,0.23830651225748234,0.012311638431057065,0.5078499318429011,0.0,5.9460241076892425e-08,1.9176992925988627e-06,,0.9231123669343355,0.12151647136452973,0.1323216547879547,,0.014550945468272763,0.0003799655588069182,0.0018177546989761794,2.6807598590646637e-08,0.0,5.671367749323895e-07,,0.028985491743568733,0.028981336973160195,0.00019707050230783452,0.000238745765411093,0.003109244465385227,0.00023443247978281506,0.0002805266420159446,,Financials,1
ashtead technology holdings plc,0.0001487904953180936,0.0011196338693767805,0.001333935043108922,0.025985086445055774,0.4304244182620875,0.4299844944835218,0.13117302890763702,0.8854530363217237,2.6515585229837985e-05,0.21003158369679653,0.04986716618014475,0.5244689742888914,0.0005183333333333333,6.073164273958944e-07,3.0218132824665806e-06,1.0302428771866071e-05,0.9230790635497688,0.11682923283838638,0.132346474747227,,0.015134356017708229,0.00038038596489923377,0.0018165480209867612,1.0801358652518917e-07,7.269615648410335e-06,3.91839953589651e-06,0.022537373521149543,0.0018527095877721167,0.0022538543905233285,0.027961030911924194,0.03865633375586014,0.002262494940209455,0.046728463347423706,0.046326971167204564,0.003678183155702965,Energy,0
