Admission Date,Company Name,ICB Industry,ICB Super-Sector,Country of Incorporation,World Region,Market,International Issuer,Company Market Cap (million GBP)
02/02/2009,1SPATIAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,76.24
18/07/1994,3I GROUP PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"38,001.13"
13/03/2007,3I INFRASTRUCTURE PLC,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,"2,937.68"
17/08/2017,450 PLC,Financials,Financial Services ,Jersey,Europe,AIM ,No,14.09
17/02/2021,4BASEBIO PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,185.73
07/12/2021,4GLOBAL PLC,Technology,Technology,United Kingdom,Europe,AIM ,No,11.33
13/03/1953,4IMPRINT GROUP PLC,Consumer Discretionary,Media,United Kingdom,Europe,MAIN MARKET ,No,"1,698.80"
02/12/2013,80 MILE PLC,Basic Materials,Basic Resources,United Kingdom,Europe,AIM ,No,11.18
03/02/2012,88 ENERGY LIMITED,Energy,Energy,Australia,Pacific,AIM ,Yes,24.13
22/05/2013,AB DYNAMICS PLC,Industrials,Industrial Goods and Services,United Kingdom,Europe,AIM ,No,392.52
01/07/2024,ABERFORTH GEARED VALUE & INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,122.29
10/12/1990,ABERFORTH SMALLER COMPANIES TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"1,206.24"
07/10/2020,"AB ""IGNITIS GRUPE""",Utilities,Utilities,Lithuania,Europe,MAIN MARKET ,Yes,-
15/12/2020,ABINGDON HEALTH PLC,Health Care ,Health Care  ,United Kingdom,Europe,AIM ,No,15.49
19/10/1995,ABRDN ASIA FOCUS PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,447.92
20/12/2005,ABRDN ASIAN INCOME FUND LIMITED,Financials,Financial Services ,Jersey,Europe,MAIN MARKET ,No,338.47
24/03/1952,ABRDN DIVERSIFIED INCOME AND GROWTH PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,131.05
14/11/1991,ABRDN EQUITY INCOME TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,156.72
15/12/2017,ABRDN EUROPEAN LOGISTICS INCOME PLC,Real Estate,Real Estate ,United Kingdom,Europe,MAIN MARKET ,No,250.6
31/03/1994,ABRDN NEW INDIA INVESTMENT TRUST PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,372.68
10/07/2006,ABRDN PLC,Financials,Financial Services ,United Kingdom,Europe,MAIN MARKET ,No,"2,848.55"
