,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03
1SPATIAL PLC,48.75,52.6875,65.32894736842105,64.77272727272727,60.51136363636363,66.30952380952381,65.3409090909091,60.714285714285715,56.845238095238095,51.48809523809524,45.625,51.25,52.44318181818182,52.5,50.17857142857143,46.30681818181818,44.285714285714285,44.65909090909091,42.32142857142857,35.654761904761905,23.46590909090909,23.25,16.726190476190474,16.625,28.48913043478261,38.75,37.32954545454545,32.44095230102539,32.89772727272727,33.63636363636363,36.125,36.47727272727273,37.21590909090909,39.671052631578945,40.11363636363637,36.35,34.023809523809526,28.88095238095238,31.952380952380953,37.45,40.87652173249618,42.214285714285715,43.714285714285715,41.27272727272727,38.34090909090909,35.578947368421055,33.34090909090909,33.375,32.72727272727273,32.7,33.8,31.69047619047619,30.630434782608695,31.5,33.09090909090909,33.22727272727273,31.261904761904763,28.075,27.545454545454547,29.225,19.934782608695652,20.95,19.57894736842105,23.363636363636363,23.0,26.30952380952381,31.045454545454547,30.666666666666668,26.857142857142858,27.476190476190474,28.075,30.4,43.729166666666664,44.39473684210526,42.45,41.97727272727273,39.023809523809526,36.79545454545455,40.5,44.475,48.47727272727273,48.23809523809524,46.375,44.325,38.0,40.416666666666664,42.25,48.925,47.88095238095238,45.09090909090909,40.916699981689455,44.5,45.34090909090909,48.825,51.023809523809526,51.875,48.608695652173914,47.80555555555556,50.285714285714285,50.166666666666664,50.25,50.5,48.025,47.15954537825151,47.90909090909091,47.31578947368421,51.375,56.80952380952381,59.45,59.61363636363637,70.675,69.64285714285714,70.26086956521739,67.8,60.11363636363637,64.10227272727273,67.92857142857143,69.525,70.07954545454545,65.625,60.525
3I INFRASTRUCTURE PLC,222.7194366455078,223.65680541992188,231.72961506090667,235.55970694802025,213.0863800048828,214.30194091796875,210.597375349565,215.2748304094587,221.34051005045572,217.4548543294271,215.11064682006835,217.55711582728796,219.13304484974253,221.69382705688477,218.99830118815103,220.86436323686078,232.28258260091147,241.9486971768466,238.07185581752233,242.87045142764137,243.92539769952947,234.14934997558595,238.32855733235678,241.47801132202147,245.6898651123047,243.19293721516928,248.58954204212534,243.04402669270834,244.39482879638672,247.84750366210938,244.3770263671875,251.71262220902875,250.22719435258344,254.93491002133018,260.70477919145065,250.07989807128905,228.01321629115515,213.82042367117745,225.52171035039993,227.84898529052734,233.3749290134596,239.00197056361608,245.4380573091053,245.29885031960228,249.14061251553622,255.23849808542352,263.51552789861506,268.7292251586914,274.50271051580256,281.6884017944336,281.83809967041014,289.1645798456101,288.9018276048743,288.7173843383789,298.90313443270594,285.56411881880325,291.60924275716144,291.70755157470705,299.7212663130327,309.42761077880857,257.79086635423744,251.5752700805664,272.2508850097656,280.2755432128906,296.1850599809126,295.26438395182294,288.21991660378194,294.0044105166481,301.07190086728053,298.92603556315106,304.5100982666016,294.52368621826173,293.2046585083008,295.1241936934622,300.9399642944336,301.068491155451,306.03743053617933,314.4180547540838,313.28440163352275,315.99570922851564,338.19436784224075,346.30365280877976,353.054914855957,339.0945449829102,342.4743258158366,356.7649146185981,347.7036965110085,338.87522888183594,331.0607183547247,340.9220428466797,324.45950469970705,306.72538394019716,327.62827370383525,326.3133575439453,334.80481974283856,326.9378997802734,309.25400311013925,317.5475040011936,321.6001209077381,305.99825177873885,311.8056820956144,302.5607743696733,306.8561325073242,299.3125693581321,320.06691672585225,321.43286454050167,320.2897546941584,328.3300563267299,326.62829742431643,326.7646123712713,338.9237258911133,327.74769228980654,335.6534370754076,341.3599594116211,340.5487518310547,333.3001306707209,327.3631054106213,317.75,314.8636363636364,318.575,317.375
450 PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.560299873352051,6.560299873352051,6.560299873352051,6.560299873352051,6.560299873352051,6.560299873352051,6.560299873352051,6.5449760754903155,6.002690519605364,5.967328616550991,5.891900062561035,5.707826179006825,5.3590094702584405,5.277661845797584,5.074900150299072,5.074900150299072,5.074900150299072,5.074900150299072,5.074900150299072,5.052400155500933,4.827400207519531,4.827400207519531,4.827400207519531,4.827400207519531,4.827400207519531,4.827400207519531,3.3645046190782026,2.6947046915690103,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.8645833333333335,2.736842105263158,2.3375,2.25,2.25,1.9431818181818181,1.6363636363636365,1.540000033378601,1.4500000476837158,1.4500000476837158,1.7224999904632567,1.75,1.7458333373069763,1.7388888994852703,1.75,1.75,1.75,1.75,1.75,1.75,1.8518181876702742,1.85625,1.8166666825612385,1.850000023841858,1.850000023841858,1.800000011920929,1.75,1.75,1.7727272510528564,1.7999999523162842,1.7909999549388886,1.7999999523162842,1.7999999523162842,1.801052589165537,1.9159090898253701,1.8595237788699923,1.5326999593526125,1.9636363061991604,2.0999999046325684,2.0999999046325684,2.0999999046325684,2.0999999046325684,2.0999999046325684,2.0999999046325684,2.0999999046325684,1.9960499093867838,1.9109999132765965,2.104999911785126,2.0999999046325684
4BASEBIO PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390.625,346.6666666666667,346.3157894736842,370.0,408.8863636363636,466.2857142857143,665.2727272727273,700.6818181818181,722.75,690.7272727272727,629.7619047619048,598.15,586.15,519.5416666666666,517.8333333333334,501.54545454545456,435.5,457.1904761904762,616.0227272727273,573.625,547.3809523809524,659.5454545454545,707.25,722.8571428571429,724.5,690.1086956521739,651.6666666666666,579.5238095238095,570.7142857142857,566.8181818181819,611.5909090909091,596.625,545.9090909090909,526.5909090909091,635.2631578947369,674.4318181818181,735.0,939.5,1014.5454545454545,1308.25,1577.142857142857,1512.1739130434783,1393.75,1423.6363636363637,1333.6363636363637,1288.8095238095239,1226.0,1228.409090909091,1137.25,1120.25
4GLOBAL PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.88235294117646,89.75,92.5849998474121,87.1875,82.05555555555556,74.63636363636364,70.65,68.80952380952381,63.52272727272727,63.877499961853026,60.4557142711821,64.86363636363636,60.7,56.07142857142857,47.45,53.0,52.916666666666664,50.142857142857146,53.833333333333336,56.95454545454545,66.36363636363636,62.0,63.06818181818182,58.77272727272727,57.39473684210526,61.59090909090909,61.23809523809524,57.075,49.27272727272727,50.525,51.30952380952381,47.82608695652174,48.75,46.18181818181818,46.13636363636363,45.54761904761905,46.85,45.5,41.3,33.5
4IMPRINT GROUP PLC,1062.32861328125,1073.475653076172,1081.3229819849919,1080.679842862216,1153.7560091885653,1237.7682466052827,1214.595126065341,1286.8043619791667,1266.0667492094494,1272.195335751488,1224.4132446289063,1169.3385009765625,1249.2647094726562,1282.238946533203,1347.6465599423364,1315.463095925071,1357.2210170200892,1594.3442049893465,1615.8285667782739,1674.8714541480654,1664.3761652166193,1724.4366760253906,1765.4911528087798,1651.2151428222655,1718.3342550526495,1758.8868272569443,1777.3842606977983,1663.9227411179315,1584.6203002929688,1769.0147316672585,1901.0734008789063,1898.6823841441762,1849.2513816139915,1844.0791015625,1946.3892322887075,1935.6591369628907,1805.2350318545386,1641.7511102585565,1861.498988560268,1775.7509399414062,1849.9191151494565,1979.1564360119048,2079.507585797991,1956.0539495294745,1947.65839732777,1892.4781429893092,1930.9806685014205,1968.704052734375,2258.4079423384233,2522.516015625,2629.1476318359373,2632.8089541480654,2634.8349397078805,2856.4734741210937,2945.4354248046875,2990.826593572443,3004.8546549479165,3173.072229003906,3344.424083362926,3257.4545043945313,2183.3880668308425,1878.7283508300782,2078.4680497018912,2481.5372314453125,2380.7687766335225,2255.899658203125,1975.152948552912,2017.518054780506,2398.0823335193454,2629.901611328125,2392.161962890625,2468.5553344726563,2482.9935404459634,2387.983578330592,2576.6545288085936,2792.6939808238635,2643.929710751488,2899.609852183949,3035.878007368608,2940.5076538085937,2892.890458540483,2823.3094889322915,2681.1096313476564,2708.822021484375,2782.2640686035156,2855.037638346354,2739.460382634943,2395.6943237304686,2707.4989653087796,3662.288263494318,3568.9893432617187,3460.155052548363,3914.1908624822445,4272.649267578125,4478.225306919643,4535.0860595703125,4725.662852411685,4565.660671657986,4506.706798735119,4932.815638950893,4559.877863103693,5040.567360617898,5038.098364257812,4831.914905894886,4486.307839133523,4566.7997018914475,4867.792702414773,5509.472284226191,5999.258642578125,6332.195134943182,6256.210278320313,5956.867908296131,6055.847741168478,5403.6375,5069.389071377841,5175.919367009943,5147.548107328869,4915.703784179687,5231.115300958807,5565.833984375,4313.546313476562
80 MILE PLC,2.125,2.125,1.9539473684210527,1.5215909210118381,1.4647727554494685,1.1714285668872653,0.8295454437082465,0.8176190342221942,0.6309523781140646,0.9738095289184934,1.5125,1.963095256260463,2.326136339794506,3.7297500133514405,5.029761882055373,4.931818181818182,5.064523742312477,5.279545523903587,6.285714240301223,6.935714290255592,7.571590922095559,7.04375,6.9333333514985585,7.604249954223633,9.312391260395879,13.569444444444445,13.625,14.172666685921806,12.613636363636363,16.897727272727273,16.9625,18.744318181818183,22.636363636363637,22.82894736842105,22.765909108248625,23.872500038146974,24.114285605294363,25.24047615414574,23.688095183599565,22.410000228881835,21.86086944911791,17.06547619047619,15.374999727521624,11.630681731484152,11.765909064899791,12.702631599024722,13.342045480554754,12.936250019073487,10.934090961109508,10.53200011253357,10.284499979019165,7.538095247177851,7.020869566046673,6.670249986648559,9.104090907356955,9.547727324745871,10.099047615414573,8.517499971389771,8.424545461481268,8.25849997997284,4.668565200722736,3.821999967098236,5.876578895669234,5.980000019073486,6.812272743745283,7.481428600492931,7.828181851993907,9.346666699364071,10.260476157778786,12.542857124691917,11.129500007629394,10.245250034332276,10.45270828406016,8.797894678617778,8.95774998664856,10.127954483032227,9.674285752432686,11.801590962843461,11.392727288332852,11.04099988937378,10.579090855338357,8.93523815699986,8.822750043869018,8.383500099182129,8.031249980131784,7.95611113972134,6.47999999739907,5.8817500352859495,4.854666641780308,6.220681797374379,5.4674999713897705,5.387857119242351,5.190590880133889,4.980299997329712,4.920380978357224,4.339249968528748,3.040347845658012,3.1858333481682672,2.8657142775399342,2.279428544498625,1.610545445572246,1.1796363619240848,0.9142999976873398,0.757090915333141,0.7207272730090402,0.6583684212283084,0.5089545426043597,0.37780952027865816,0.35525000542402263,0.29604544964703644,0.3055000022053718,0.3518095200970059,0.4179565245690553,0.34604999870061875,0.3096363612196662,0.31036363677545026,0.3140476175716945,0.28700000196695324,0.2968636385419152,0.265800005197525,0.26474999785423275
88 ENERGY LIMITED,0.590399980545044,0.5503000110387802,0.5761578945737136,0.7923409017649564,0.6138818101449446,0.5189380986349923,0.6020136367190968,0.6414476150558108,0.583347621418181,0.49524761665435063,0.3207449972629547,1.1510428672745114,3.242381821979176,2.4293250262737276,1.8780428625288463,1.7512999881397595,1.8660904793512254,2.461190938949585,2.323966696148827,2.6088714486076716,2.1738182197917593,2.3137099921703337,2.4626761845179965,2.4330400228500366,2.4387086992678433,2.720861103799608,2.7029681639237837,3.503514278502691,1.9970954656600952,1.9937409216707402,1.647225022315979,0.9493363797664642,1.1875090924176304,1.2294842130259465,1.6944999911568381,1.6582899928092956,1.805171427272615,2.286457141240438,2.2548571541195823,1.9965650141239166,1.1568434756735098,1.1515143087932043,1.1304285753340948,1.0161454758860848,1.0163863788951526,0.9385315775871277,1.0874727314168757,1.0596649914979934,0.9203227270733226,0.7892350077629089,0.7699250012636185,0.9459000031153361,0.9853260957676432,0.9079750031232834,0.7062363570386713,0.7134409086270765,0.8911809609049842,1.0069450050592423,1.3027318120002747,1.181139999628067,0.888334774452707,0.3750450015068054,0.27760526302613703,0.27437727221033786,0.2640318152579394,0.26534285289900644,0.3485909090800719,0.3359714292344592,0.39105237807546345,0.41062380586351666,0.5316100046038628,0.4942950025200844,1.3106666766107082,1.3217420954453318,1.3028599917888641,1.2586909044872632,1.9297809657596408,2.0649681904099206,1.581809098070318,1.575519996881485,1.500309088013389,1.3681523572830927,1.8563499987125396,2.2685400187969207,2.039100021123886,0.815394444598092,0.6650863533670252,0.512105005979538,0.65973809219542,0.5563681884245439,0.49878500401973724,0.48194761929057894,0.5242863744497299,0.5145700111985206,0.6300380882762727,0.702125009894371,0.620091306126636,0.49560555153422886,0.42129047569774447,0.37439048290252686,0.3701954605904492,0.3396045403047041,0.3412499919533729,0.33481817353855475,0.31454544853080396,0.2476315788532558,0.2430909079584208,0.27133333328224357,0.2912999987602234,0.2532727257771925,0.1513500019907951,0.10790476202964776,0.1060869573898937,0.09999999962747094,0.09718181633136483,0.10172727229920292,0.09395238189470195,0.08915000036358829,0.08259090645746749,0.07959999814629552,0.06870000287890429
AB DYNAMICS PLC,185.1520233154297,192.83758773803712,204.57275551243833,226.99470728093928,215.084660616788,207.54967753092447,201.94950658624822,259.4312090192522,299.2932870047433,322.45206851050966,308.4406036376953,308.95218331473217,367.34867442737925,429.1141647338867,480.3736063639323,425.7331972989169,439.32739403134303,461.0805136940696,443.7006995791481,480.51732090541293,475.55930120294744,514.8438186645508,544.6630452473959,585.9221588134766,597.3688540251359,607.9594217936198,573.9842557040128,570.3465779622396,592.7945528897372,607.4743291681463,585.5363708496094,615.1205333362926,758.4975447221236,913.9525788959704,903.6324601606889,822.3813018798828,898.9324428013393,921.8704775855655,1016.8932902018229,1141.9912353515624,1261.7230330757473,1195.884509858631,1262.6790190197173,1285.9469659978693,1428.0987937233665,1459.0405851665296,1515.0009210759943,1557.1813171386718,1735.3193248401988,1923.5769287109374,2479.131872558594,2560.944603329613,2571.2532056725545,2499.7775390625,2461.125887784091,2266.617120916193,2523.808791387649,2207.0829345703123,2171.2094782049007,1951.407208251953,1320.5723505434783,1459.243603515625,1641.5536980879933,1709.8132546164773,1759.918124112216,1737.3138950892858,1861.0366377397017,2071.659917922247,2028.2150704520088,1868.2432570684523,2112.6697631835937,2030.6891784667969,2021.1488850911458,2231.2372982627467,2196.427880859375,2160.3665105646305,2074.4591006324404,1834.7321444424715,1805.6454967151988,1897.4730163574218,1724.7482188831675,1816.404541015625,1666.2870483398438,1393.196954345703,1078.0080312093098,1265.2549506293403,1199.0644253817472,1112.121484375,1186.1724679129463,1290.7599986683238,1280.2350158691406,1415.6697765531994,1604.2464821555398,1632.1899719238281,1678.6525355747767,1807.8309143066406,1751.466648267663,1783.8609483506943,1847.4656691778273,2001.1454089936756,1793.1483931107955,1759.1739390980113,1706.9849853515625,1514.8757157759233,1558.9630515358665,1789.5901071648848,1702.3603626598012,1798.8153599330358,1791.8976745605469,1762.5129727450285,2007.160986328125,2108.4778878348216,2062.5172172214675,1939.6639709472656,1933.5506092418325,1819.2374933416193,1960.6273251488096,1996.4114807128906,1826.7647816051137,1786.4715759277344,1840.220721435547
ABINGDON HEALTH PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.11359891024503,99.95200576782227,95.5052677154541,92.43273226420085,79.10623088635896,60.589334869384764,51.278909336436875,42.94336173647926,42.54358196258545,42.926531531594016,48.86925449371338,38.01844111355868,29.984271458217076,22.260000038146973,14.510000038146973,11.24958332379659,11.847222222222221,11.0,10.722499990463257,10.10857141585577,7.914090915159746,6.500250005722046,6.757142861684163,6.090909090909091,4.45,5.166666666666667,5.375,5.293478260869565,7.361111111111111,9.571904772803897,11.985714276631674,10.565909082239324,10.210227272727273,10.9625,10.59863636710427,10.1136361468922,9.139473664133172,9.690908952192826,8.257142770858039,8.32849998474121,10.302272709933193,10.509999990463257,10.814285687037877,10.606521772301715,9.997499990463258,9.584090969779275,8.698636358434504,7.514285723368327,7.7285000562667845,7.974090922962535,7.525,6.896000003814697
