iter	MultiClass
0	1.565007188
1	1.504819505
2	1.448692456
3	1.406639275
4	1.371652142
5	1.332651577
6	1.293393925
7	1.25907686
8	1.218231866
9	1.193376823
10	1.17370798
11	1.149221133
12	1.119502463
13	1.101811572
14	1.074064741
15	1.041020005
16	1.022032761
17	1.002790608
18	0.9847334228
19	0.9631937621
20	0.9463808641
21	0.9303742552
22	0.9147214644
23	0.8979746117
24	0.8815992606
25	0.8699400375
26	0.8568197662
27	0.8448874659
28	0.8290348638
29	0.8146561236
30	0.7971061638
31	0.7868727527
32	0.7742112713
33	0.7616446965
34	0.7529586507
35	0.7454621983
36	0.7355216587
37	0.7243559422
38	0.7163483287
39	0.7081577545
40	0.6964962919
41	0.6905453503
42	0.6845634641
43	0.6783338011
44	0.6730962823
45	0.6668270105
46	0.6556924527
47	0.6510642689
48	0.6426060846
49	0.6355576753
50	0.6302497176
51	0.6273783942
52	0.6221211897
53	0.6135432474
54	0.6074755877
55	0.6026426506
56	0.5974317451
57	0.5924157511
58	0.5895321933
59	0.5842718936
60	0.5803158899
61	0.5745214949
62	0.5692525675
63	0.5640202393
64	0.5596767328
65	0.55296274
66	0.543598489
67	0.5390027392
68	0.5335748028
69	0.5290393383
70	0.526964743
71	0.5241250789
72	0.5204594273
73	0.5135870896
74	0.5109276274
75	0.5033134531
76	0.5004444885
77	0.4995135688
78	0.4931572273
79	0.4860665335
80	0.4831159503
81	0.4812596101
82	0.478163663
83	0.4758556964
84	0.4733739536
85	0.4702706049
86	0.46771368
87	0.4644603354
88	0.4620106877
89	0.4609140766
90	0.4585626367
91	0.4544561674
92	0.4519499777
93	0.4500696763
94	0.4479934263
95	0.4465092926
96	0.4427957028
97	0.439769792
98	0.4380013843
99	0.4361616599
100	0.4311254093
101	0.4297471536
102	0.4282440415
103	0.4236160063
104	0.4224570074
105	0.4215829563
106	0.4194734194
107	0.4181871649
108	0.4158497697
109	0.4152341318
110	0.4144018185
111	0.4124718648
112	0.4114233258
113	0.4102714734
114	0.4092694658
115	0.4078203489
116	0.4060110311
117	0.4050346332
118	0.4037954403
119	0.4034068398
120	0.4020926266
121	0.400271575
122	0.399715751
123	0.3984260418
124	0.3971259674
125	0.3961353028
126	0.3935165011
127	0.3920357511
128	0.3898546125
129	0.3888769663
130	0.3880616921
131	0.3862246023
132	0.3846159417
133	0.383227551
134	0.3803969938
135	0.3777792397
136	0.3767454863
137	0.3760999327
138	0.3746067751
139	0.3733266812
140	0.3723501105
141	0.3711420804
142	0.3705410762
143	0.3701900874
144	0.3690258729
145	0.3685570217
146	0.3679748859
147	0.36385409
148	0.3617699874
149	0.3613795184
150	0.3610306111
151	0.360204603
152	0.3599495705
153	0.3558633702
154	0.3538594964
155	0.3531496034
156	0.3510484106
157	0.3506121167
158	0.3498058586
159	0.3480711351
160	0.3475108202
161	0.3464269258
162	0.346089409
163	0.3454587609
164	0.3446543439
165	0.3432096276
166	0.3414401204
167	0.3409643582
168	0.3405178166
169	0.3388350766
170	0.3378730332
171	0.337186525
172	0.3360463674
173	0.3356364231
174	0.3351134353
175	0.3346867369
176	0.3342021369
177	0.3334394733
178	0.3328545216
179	0.3314034922
180	0.3301230731
181	0.329703526
182	0.3287662043
183	0.3276698775
184	0.3267016283
185	0.3261925292
186	0.3249939706
187	0.3246227825
188	0.3233235828
189	0.3220688026
190	0.3209369204
191	0.320582717
192	0.3185435902
193	0.3181817746
194	0.3167326109
195	0.3165114558
196	0.3162511343
197	0.3158436483
198	0.3152807054
199	0.3150289559
200	0.3132495804
201	0.3121417055
202	0.311806893
203	0.3105244176
204	0.308476827
205	0.3081400631
206	0.3078551509
207	0.3071353129
208	0.3057243495
209	0.3054076124
210	0.3045812974
211	0.3032637683
212	0.3017119215
213	0.3009012988
214	0.2994830742
215	0.2980342162
216	0.296600278
217	0.295399262
218	0.2949960352
219	0.2930482138
220	0.2918637429
221	0.2908792024
222	0.2897477818
223	0.2880970723
224	0.2878236894
225	0.2862970683
