iter	Passed	Remaining
0	18	11119
1	31	9477
2	47	9612
3	60	9181
4	79	9609
5	97	9761
6	116	10008
7	134	10080
8	152	10160
9	168	10064
10	185	10063
11	200	9964
12	217	9965
13	233	9912
14	249	9890
15	264	9792
16	280	9764
17	297	9762
18	317	9856
19	334	9865
20	354	9917
21	371	9912
22	389	9919
23	403	9824
24	419	9811
25	433	9720
26	448	9672
27	462	9596
28	477	9554
29	491	9477
30	509	9507
31	526	9502
32	545	9525
33	561	9488
34	578	9479
35	593	9446
36	610	9436
37	625	9403
38	641	9372
39	654	9313
40	670	9287
41	684	9235
42	701	9232
43	718	9224
44	738	9254
45	755	9245
46	774	9256
47	790	9237
48	807	9226
49	822	9190
50	837	9167
51	851	9115
52	867	9095
53	880	9050
54	896	9031
55	912	9006
56	932	9031
57	951	9039
58	971	9058
59	988	9046
60	1006	9045
61	1022	9021
62	1037	8995
63	1050	8948
64	1066	8922
65	1078	8876
66	1093	8845
67	1105	8795
68	1122	8784
69	1138	8766
70	1155	8754
71	1170	8726
72	1187	8720
73	1203	8698
74	1220	8690
75	1234	8657
76	1249	8635
77	1262	8592
78	1276	8564
79	1289	8525
80	1304	8501
81	1318	8476
82	1335	8466
83	1352	8452
84	1370	8451
85	1387	8437
86	1405	8433
87	1422	8421
88	1439	8410
89	1453	8384
90	1468	8360
91	1481	8326
92	1496	8300
93	1508	8262
94	1524	8246
95	1537	8213
96	1553	8201
97	1568	8179
98	1586	8170
99	1600	8147
100	1618	8142
101	1635	8127
102	1650	8109
103	1664	8081
104	1679	8059
105	1691	8027
106	1706	8004
107	1721	7985
108	1735	7961
109	1749	7936
110	1766	7926
111	1781	7905
112	1798	7894
113	1814	7877
114	1831	7866
115	1846	7846
116	1861	7828
117	1874	7799
118	1888	7777
119	1901	7747
120	1916	7729
121	1929	7701
122	1947	7695
123	1962	7673
124	1978	7659
125	1994	7643
126	2013	7641
127	2029	7625
128	2045	7611
129	2059	7588
130	2073	7567
131	2086	7538
132	2100	7518
133	2115	7498
134	2130	7478
135	2143	7453
136	2158	7435
137	2173	7416
138	2190	7406
139	2205	7389
140	2225	7385
141	2241	7370
142	2260	7366
143	2277	7352
144	2293	7339
145	2308	7320
146	2325	7309
147	2341	7293
148	2357	7278
149	2374	7266
150	2393	7259
151	2410	7246
152	2429	7239
153	2446	7227
154	2464	7219
155	2480	7202
156	2496	7188
157	2511	7169
158	2529	7157
159	2543	7137
160	2560	7125
161	2577	7111
162	2596	7103
163	2613	7091
164	2633	7087
165	2651	7075
166	2669	7065
167	2693	7070
168	2710	7057
169	2725	7038
170	2741	7022
171	2755	7001
172	2776	6996
173	2792	6981
174	2810	6970
175	2829	6960
176	2847	6950
177	2864	6936
178	2881	6923
179	2897	6904
180	2915	6894
181	2930	6874
182	2950	6867
183	2964	6847
184	2981	6833
185	2998	6819
186	3017	6809
187	3034	6794
188	3053	6784
189	3069	6769
190	3087	6757
191	3103	6740
192	3120	6725
193	3134	6704
194	3150	6688
195	3164	6667
196	3180	6651
197	3196	6635
198	3215	6624
199	3231	6608
200	3250	6597
201	3267	6582
202	3285	6571
203	3301	6554
204	3317	6538
205	3332	6519
206	3349	6504
207	3365	6487
208	3381	6472
209	3397	6455
210	3416	6444
211	3434	6431
212	3456	6426
213	3473	6411
214	3492	6400
215	3509	6385
216	3526	6370
217	3541	6352
218	3558	6337
219	3574	6319
220	3591	6305
221	3607	6289
222	3626	6277
223	3644	6264
224	3663	6252
225	3681	6238
226	3699	6226
227	3716	6210
228	3732	6194
229	3748	6177
230	3765	6161
231	3780	6143
232	3797	6127
233	3811	6108
234	3830	6096
235	3848	6082
236	3866	6069
237	3883	6054
238	3902	6041
239	3919	6026
240	3936	6011
241	3965	6014
242	3982	5998
243	3997	5979
244	4014	5963
245	4031	5949
246	4050	5936
247	4067	5920
248	4085	5906
249	4101	5890
250	4119	5875
251	4134	5856
252	4150	5839
253	4164	5820
254	4180	5803
255	4194	5784
256	4210	5767
257	4225	5749
258	4243	5735
259	4260	5719
260	4279	5706
261	4296	5690
262	4315	5676
263	4331	5660
264	4348	5644
265	4363	5625
266	4379	5610
267	4395	5592
268	4411	5576
269	4426	5558
270	4444	5542
271	4461	5527
272	4480	5514
273	4497	5498
274	4516	5485
275	4533	5470
276	4552	5455
277	4568	5439
278	4585	5424
279	4601	5407
280	4618	5390
281	4642	5383
282	4661	5369
283	4679	5354
284	4697	5340
285	4715	5325
286	4733	5310
287	4749	5293
288	4766	5277
289	4782	5260
290	4798	5243
291	4813	5225
292	4830	5209
293	4845	5191
294	4863	5177
